ProviderKey,PurchasePriceExclVat_CHF,SuggestedRetailPriceInclVat_CHF,VatRatePercentage
WEL_4002051683696,22.50,,8.1
WEL_4002051683269,23.00,,8.1
WEL_4002051683689,22.50,,8.1
WEL_4002051684662,35.50,,8.1
WEL_4002051684396,22.00,,8.1
WEL_0841333120603,54.00,,8.1
WEL_3558380134336,46.50,,8.1
WEL_3558380136378,13.00,,8.1
WEL_0841333133887,27.00,,8.1
WEL_4251715422052,30.50,,8.1
WEL_4015566603929,36.50,,8.1
WEL_0887961587579,26.00,,8.1
WEL_0887961972290,35.50,,8.1
WEL_0194735145607,20.50,,8.1
WEL_0194735135769,38.00,,8.1
WEL_5010996164452,17.50,,8.1
WEL_7640142763093,11.00,,8.1
WEL_7640142762522,11.00,,8.1
WEL_4260071881946,33.00,,8.1
WEL_7331672420012,18.50,,8.1
WEL_7640142762959,16.00,,8.1
WEL_4250231741692,32.00,,8.1
WEL_7331672430356,18.50,,8.1
WEL_5010993721788,32.00,,8.1
WEL_4270000440182,73.50,,8.1
WEL_4002051683429,36.00,,8.1
WEL_0810083049120,47.00,,8.1
WEL_7331672430202,27.00,,8.1
WEL_4005556764112,35.50,,8.1
WEL_7331672430066,27.00,,8.1
WEL_8720077192140,32.50,,8.1
WEL_4255682705286,100.50,,8.1
WEL_4250231738333,47.00,,8.1
WEL_4260664070498,50.50,,8.1
WEL_4015566018686,75.50,,8.1
WEL_5010993686179,42.50,,8.1
WEL_4007396018806,39.00,,8.1
WEL_0194735158812,43.50,,8.1
WEL_0746775261344,57.00,,8.1
WEL_4005556266876,43.50,,8.1
WEL_3859892497286,41.00,,8.1
WEL_4005556223435,39.00,,8.1
WEL_3760175519093,85.50,,8.1
WEL_9783948403003,44.50,,8.1
WEL_9783981047837,43.50,,8.1
WEL_9783981047806,43.50,,8.1
WEL_7640142762850,35.00,,8.1
WEL_3558380081678,18.00,,8.1
WEL_4001504011079,17.50,,8.1
WEL_4005556266012,53.50,,8.1
WEL_4260370821544,80.00,,8.1
WEL_4015566027374,88.00,,8.1
WEL_4015566601239,180.00,,8.1
WEL_4005556272884,52.50,,8.1
WEL_0719896463386,97.00,,8.1
WEL_8719326363219,23.50,,8.1
WEL_8721008099040,45.50,,8.1
WEL_4260664070122,89.00,,8.1
WEL_4260664070979,68.50,,8.1
WEL_5430003304372,102.50,,8.1
WEL_4260071883674,65.00,,8.1
WEL_4005556225897,16.50,,8.1
WEL_4010168041704,50.50,,8.1
WEL_4005556273539,19.00,,8.1
WEL_4005556209613,12.00,,8.1
WEL_4250231738241,73.00,,8.1
WEL_8594195080203,86.50,,8.1
WEL_4015566604384,17.50,,8.1
WEL_4015566018556,49.00,,8.1
WEL_9783981047844,43.50,,8.1
WEL_4015566018631,41.00,,8.1
WEL_3558380076766,21.50,,8.1
WEL_5011921249091,229.50,,8.1
WEL_4002051680565,75.50,,8.1
WEL_4260686490274,36.50,,8.1
WEL_4260686490267,31.00,,8.1
WEL_4001504013073,18.50,,8.1
WEL_4001504012076,18.50,,8.1
WEL_4001504496111,28.00,,8.1
WEL_4002051683177,75.50,,8.1
WEL_4042677014139,53.50,,8.1
WEL_4002051680732,44.50,,8.1
WEL_4002051683931,88.00,,8.1
WEL_4005556273768,44.50,,8.1
WEL_3760269593527,70.50,,8.1
WEL_0850032180979,28.00,,8.1
WEL_4260071884909,28.50,,8.1
WEL_4015566027718,151.00,,8.1
WEL_0787790102267,59.00,,8.1
WEL_9789189143920,56.00,,8.1
WEL_7350105220784,23.50,,8.1
WEL_9789189765702,50.00,,8.1
WEL_9789189765979,45.50,,8.1
WEL_9789189765917,59.00,,8.1
WEL_4015566602809,116.00,,8.1
WEL_9789189765405,45.50,,8.1
WEL_9789189765986,29.00,,8.1
WEL_9789189765597,56.00,,8.1
WEL_7350105220791,59.00,,8.1
WEL_9789190079043,29.00,,8.1
WEL_7350105220760,23.50,,8.1
WEL_4251715421918,33.00,,8.1
WEL_9789189765603,29.00,,8.1
WEL_7350159810399,11.50,,8.1
WEL_0826956630807,70.50,,8.1
WEL_3558380135845,16.00,,8.1
WEL_4251715422014,18.00,,8.1
WEL_0841333135737,27.50,,8.1
WEL_0841333134037,20.50,,8.1
WEL_5011921219063,51.50,,8.1
WEL_5011921228768,116.00,,8.1
WEL_5011921256839,48.00,,8.1
WEL_0196214117815,25.00,,8.1
WEL_0618149322893,25.00,,8.1
WEL_0810083042220,45.50,,8.1
WEL_0841333116125,31.00,,8.1
WEL_0850029278054,59.00,,8.1
WEL_5060523344338,49.50,,8.1
WEL_9781910132753,56.00,,8.1
WEL_5907699496594,17.00,,8.1
WEL_7649988894725,127.50,,8.1
WEL_0888130472586,27.00,,8.1
WEL_0664213998884,16.00,,8.1
WEL_5060523344321,26.50,,8.1
WEL_5907699493920,18.50,,8.1
WEL_5907699493951,19.50,,8.1
WEL_5907699493937,18.50,,8.1
WEL_4262360070031,19.00,,8.1
WEL_9789189143302,29.50,,8.1
WEL_9781912743681,56.00,,8.1
WEL_9788394726690,31.00,,8.1
WEL_9781912743803,31.00,,8.1
WEL_9781912743773,49.50,,8.1
WEL_0618149323357,22.50,,8.1
WEL_0618149323326,22.50,,8.1
WEL_0787790402244,22.50,,8.1
WEL_0729220070326,55.50,,8.1
WEL_0691835051000,22.50,,8.1
WEL_0687700232315,24.50,,8.1
WEL_5060523345885,26.50,,8.1
WEL_0618149323241,42.00,,8.1
WEL_0029877030255,51.00,,8.1
WEL_0634482875254,86.00,,8.1
WEL_9781737496274,59.00,,8.1
WEL_9789187222931,39.00,,8.1
WEL_0618149323333,22.50,,8.1
WEL_0810011724471,19.00,,8.1
WEL_0810011724464,17.00,,8.1
WEL_0745178257688,82.00,,8.1
WEL_7350105220395,15.50,,8.1
WEL_7350105220418,16.50,,8.1
WEL_4005556225804,39.00,,8.1
WEL_4250231738876,90.00,,8.1
WEL_3558380081197,26.50,,8.1
WEL_4250231738616,21.50,,8.1
WEL_4250231738609,21.50,,8.1
WEL_5060959630159,15.50,,8.1
WEL_4250231739910,51.50,,8.1
WEL_4250231739033,97.00,,8.1
WEL_4250231738494,49.00,,8.1
WEL_4250231738470,43.50,,8.1
