ProviderKey,SpecificationKey,SpecificationValue
NER_1200179352859,Target group,men
NER_1200179352866,Brand,Reebok
NER_1200179352866,Color,Black
NER_1200179352866,Target group,men
NER_1200179352873,Brand,Reebok
NER_1200179352873,Color,Black
NER_1200179352873,Target group,men
NER_1200179352880,Brand,Reebok
NER_1200179352880,Color,Black
NER_1200179352880,Target group,men
NER_1200179352897,Brand,Reebok
NER_1200179352897,Color,Black
NER_1200179352897,Target group,men
NER_1200179352903,Brand,Reebok
NER_1200179352903,Color,Black
NER_1200179352903,Target group,men
NER_1200179352910,Brand,Reebok
NER_1200179352910,Color,Black
NER_1200179352910,Target group,men
NER_1200179357670,Brand,Reebok
NER_1200179357670,Color,Black
NER_1200179357670,Target group,women
NER_1200179357687,Brand,Reebok
NER_1200179357687,Color,Black
NER_1200179357687,Target group,women
NER_1200179357694,Brand,Reebok
NER_1200179357694,Color,Black
NER_1200179357694,Target group,women
NER_1200179357700,Brand,Reebok
NER_1200179357700,Color,Black
NER_1200179357700,Target group,women
NER_1200179357717,Brand,Reebok
NER_1200179357717,Color,Black
NER_1200179357717,Target group,women
NER_1200179357724,Brand,Reebok
NER_1200179357724,Color,Black
NER_1200179357724,Target group,women
NER_1200179848604,Brand,Reebok
NER_1200179848604,Color,Black / Buff Metallic
NER_1200179848604,Target group,men
NER_1200179848611,Brand,Reebok
NER_1200179848611,Color,Black / Buff Metallic
NER_1200179848611,Target group,men
NER_1200179848628,Brand,Reebok
NER_1200179848628,Color,Black / Buff Metallic
NER_1200179848628,Target group,men
NER_1200179848635,Brand,Reebok
NER_1200179848635,Color,Black / Buff Metallic
NER_1200179848635,Target group,men
NER_1200179848642,Brand,Reebok
NER_1200179848642,Color,Black / Buff Metallic
NER_1200179848642,Target group,men
NER_1200179848659,Brand,Reebok
NER_1200179848659,Color,Black / Buff Metallic
NER_1200179848659,Target group,men
NER_1200179848666,Brand,Reebok
NER_1200179848666,Color,Black / Buff Metallic
NER_1200179848666,Target group,men
NER_1200179848673,Brand,Reebok
NER_1200179848673,Color,Black / Buff Metallic
NER_1200179848673,Target group,men
NER_1200179848680,Brand,Reebok
NER_1200179848680,Color,Black / Buff Metallic
NER_1200179848680,Target group,men
NER_1200179848697,Brand,Reebok
NER_1200179848697,Color,Black / Buff Metallic
NER_1200179848697,Target group,men
NER_1200179848994,Brand,Reebok
NER_1200179848994,Color,Black / White
NER_1200179848994,Target group,men
NER_1200179849007,Brand,Reebok
NER_1200179849007,Color,Black / White
NER_1200179849007,Target group,men
NER_1200179849014,Brand,Reebok
NER_1200179849014,Color,Black / White
NER_1200179849014,Target group,men
NER_1200179849021,Brand,Reebok
NER_1200179849021,Color,Black / White
NER_1200179849021,Target group,men
NER_1200179849038,Brand,Reebok
NER_1200179849038,Color,Black / White
NER_1200179849038,Target group,men
NER_1200179849045,Brand,Reebok
NER_1200179849045,Color,Black / White
NER_1200179849045,Target group,men
NER_1200179849052,Brand,Reebok
NER_1200179849052,Color,Black / White
NER_1200179849052,Target group,men
NER_1200179849069,Brand,Reebok
NER_1200179849069,Color,Black / White
NER_1200179849069,Target group,men
NER_1200179849076,Brand,Reebok
NER_1200179849076,Color,Black / White
NER_1200179849076,Target group,men
NER_1200179849083,Brand,Reebok
NER_1200179849083,Color,Black / White
NER_1200179849083,Target group,men
NER_1200179849090,Brand,Reebok
NER_1200179849090,Color,Black / White
NER_1200179849090,Target group,men
NER_1200179850942,Brand,Reebok
NER_1200179850942,Color,Purple Hairy
NER_1200179850942,Target group,men
NER_1200179851055,Brand,Reebok
NER_1200179851055,Color,Black / Buff Metallic
NER_1200179851055,Target group,men
NER_1200179851062,Brand,Reebok
NER_1200179851062,Color,Black / Buff Metallic
NER_1200179851062,Target group,men
NER_1200179851086,Brand,Reebok
NER_1200179851086,Color,Black / Buff Metallic
NER_1200179851086,Target group,men
NER_1200179851116,Brand,Reebok
NER_1200179851116,Color,Black / Buff Metallic
NER_1200179851116,Target group,men
NER_1200179851147,Brand,Reebok
NER_1200179851147,Color,Black / Buff Metallic
NER_1200179851147,Target group,men
NER_1200179851154,Brand,Reebok
NER_1200179851154,Color,Black / Buff Metallic
NER_1200179851154,Target group,men
NER_1200179851475,Brand,Reebok
NER_1200179851475,Color,Black
NER_1200179851475,Target group,men
NER_1200179852052,Brand,Reebok
NER_1200179852052,Color,Purple Buff
NER_1200179852052,Target group,men
NER_1200179852069,Brand,Reebok
NER_1200179852069,Color,Purple Buff
NER_1200179852069,Target group,men
NER_1200179852076,Brand,Reebok
NER_1200179852076,Color,Purple Buff
NER_1200179852076,Target group,men
NER_1200179852083,Brand,Reebok
NER_1200179852083,Color,Purple Buff
NER_1200179852083,Target group,men
NER_1200179852496,Brand,Reebok
NER_1200179852496,Color,Tonal Grey
NER_1200179852496,Target group,men
NER_1200179852502,Brand,Reebok
NER_1200179852502,Color,Tonal Grey
NER_1200179852502,Target group,men
NER_1200179852564,Brand,Reebok
NER_1200179852564,Color,Tonal Grey
NER_1200179852564,Target group,men
NER_1200179852694,Brand,Reebok
NER_1200179852694,Color,Black Metallic
NER_1200179852694,Target group,men
NER_1200179852700,Brand,Reebok
NER_1200179852700,Color,Black Metallic
NER_1200179852700,Target group,men
NER_1200179852717,Brand,Reebok
NER_1200179852717,Color,Black Metallic
NER_1200179852717,Target group,men
NER_1200179852724,Brand,Reebok
NER_1200179852724,Color,Black Metallic
NER_1200179852724,Target group,men
NER_1200179852731,Brand,Reebok
NER_1200179852731,Color,Black Metallic
NER_1200179852731,Target group,men
NER_1200179852748,Brand,Reebok
NER_1200179852748,Color,Black Metallic
NER_1200179852748,Target group,men
NER_1200179852755,Brand,Reebok
NER_1200179852755,Color,Black Metallic
NER_1200179852755,Target group,men
NER_1200179852762,Brand,Reebok
NER_1200179852762,Color,Black Metallic
NER_1200179852762,Target group,men
NER_1200179888853,Brand,Reebok
NER_1200179888853,Color,Black
NER_1200179888853,Target group,men
NER_1200179888860,Brand,Reebok
NER_1200179888860,Color,Black
NER_1200179888860,Target group,men
NER_1200179888877,Brand,Reebok
NER_1200179888877,Color,Black
NER_1200179888877,Target group,men
NER_1200179888884,Brand,Reebok
NER_1200179888884,Color,Black
NER_1200179888884,Target group,men
NER_1200179888891,Brand,Reebok
NER_1200179888891,Color,Black
NER_1200179888891,Target group,men
NER_1200179888907,Brand,Reebok
NER_1200179888907,Color,Black
NER_1200179888907,Target group,men
NER_1200179888914,Brand,Reebok
NER_1200179888914,Color,Black
NER_1200179888914,Target group,men
NER_1200179888921,Brand,Reebok
NER_1200179888921,Color,Black
NER_1200179888921,Target group,men
NER_1200179888938,Brand,Reebok
NER_1200179888938,Color,Black
NER_1200179888938,Target group,men
NER_1200179888945,Brand,Reebok
NER_1200179888945,Color,Black
NER_1200179888945,Target group,men
NER_1200179914019,Brand,Reebok
NER_1200179914019,Color,Pink / Pink / Chalk
NER_1200179914019,Target group,men
NER_1200179914026,Brand,Reebok
NER_1200179914026,Color,Pink / Pink / Chalk
NER_1200179914026,Target group,men
NER_1200179914033,Brand,Reebok
NER_1200179914033,Color,Pink / Pink / Chalk
NER_1200179914033,Target group,men
NER_1200179914040,Brand,Reebok
NER_1200179914040,Color,Pink / Pink / Chalk
NER_1200179914040,Target group,men
NER_1200179914057,Brand,Reebok
NER_1200179914057,Color,Pink / Pink / Chalk
NER_1200179914057,Target group,men
NER_1200179914064,Brand,Reebok
NER_1200179914064,Color,Pink / Pink / Chalk
NER_1200179914064,Target group,men
NER_1200179914071,Brand,Reebok
NER_1200179914071,Color,Pink / Pink / Chalk
NER_1200179914071,Target group,men
NER_1200179914088,Brand,Reebok
NER_1200179914088,Color,Pink / Pink / Chalk
NER_1200179914088,Target group,men
NER_1200179914095,Brand,Reebok
NER_1200179914095,Color,Pink / Pink / Chalk
NER_1200179914095,Target group,men
NER_1200179914118,Brand,Reebok
NER_1200179914118,Color,Pink / Pink / Chalk
NER_1200179914118,Target group,men
NER_1200179915993,Brand,Reebok
NER_1200179915993,Color,Pink / Pink / Blue
NER_1200179915993,Target group,men
NER_1200179916006,Brand,Reebok
NER_1200179916006,Color,Pink / Pink / Blue
NER_1200179916006,Target group,men
NER_1200179916020,Brand,Reebok
NER_1200179916020,Color,Pink / Pink / Blue
NER_1200179916020,Target group,men
NER_1200179916051,Brand,Reebok
NER_1200179916051,Color,Pink / Pink / Blue
NER_1200179916051,Target group,men
NER_1200179916372,Brand,Reebok
NER_1200179916372,Color,Berry / Rose / Moon
NER_1200179916372,Target group,men
NER_1200179916389,Brand,Reebok
NER_1200179916389,Color,Berry / Rose / Moon
NER_1200179916389,Target group,men
NER_1200179916396,Brand,Reebok
NER_1200179916396,Color,Berry / Rose / Moon
NER_1200179916396,Target group,men
NER_1200179916402,Brand,Reebok
NER_1200179916402,Color,Berry / Rose / Moon
NER_1200179916402,Target group,men
NER_1200179916419,Brand,Reebok
NER_1200179916419,Color,Berry / Rose / Moon
NER_1200179916419,Target group,men
NER_1200179916426,Brand,Reebok
NER_1200179916426,Color,Berry / Rose / Moon
NER_1200179916426,Target group,men
NER_1200179916433,Brand,Reebok
NER_1200179916433,Color,Berry / Rose / Moon
NER_1200179916433,Target group,men
NER_1200179916440,Brand,Reebok
NER_1200179916440,Color,Berry / Rose / Moon
NER_1200179916440,Target group,men
NER_1200179916457,Brand,Reebok
NER_1200179916457,Color,Berry / Rose / Moon
NER_1200179916457,Target group,men
NER_1200179916464,Brand,Reebok
NER_1200179916464,Color,Berry / Rose / Moon
NER_1200179916464,Target group,men
NER_1200179916471,Brand,Reebok
NER_1200179916471,Color,Berry / Rose / Moon
NER_1200179916471,Target group,men
NER_1200179917324,Brand,Reebok
NER_1200179917324,Color,White / White / White
NER_1200179917324,Target group,men
NER_1200179917331,Brand,Reebok
NER_1200179917331,Color,White / White / White
NER_1200179917331,Target group,men
NER_1200179917355,Brand,Reebok
NER_1200179917355,Color,White / White / White
NER_1200179917355,Target group,men
NER_1200179917362,Brand,Reebok
NER_1200179917362,Color,White / White / White
NER_1200179917362,Target group,men
NER_1200179917379,Brand,Reebok
NER_1200179917379,Color,White / White / White
NER_1200179917379,Target group,men
NER_1200181154755,Shoe size (EU),45
NER_1200181154755,Brand,DC Shoes
NER_1200181154755,Color,Black Orange
NER_1200181154755,Target group,men
NER_1200181154779,Shoe size (EU),42.5
NER_1200181154779,Brand,DC Shoes
NER_1200181154779,Color,Black Orange
NER_1200181154779,Target group,men
NER_1200181154786,Shoe size (EU),40.5
NER_1200181154786,Brand,DC Shoes
NER_1200181154786,Color,Black Orange
NER_1200181154786,Target group,men
NER_1200181154793,Shoe size (EU),40
NER_1200181154793,Brand,DC Shoes
NER_1200181154793,Color,Black Orange
NER_1200181154793,Target group,men
NER_1200181154830,Shoe size (EU),41
NER_1200181154830,Brand,DC Shoes
NER_1200181154830,Color,Black Orange
NER_1200181154830,Target group,men
NER_1200181154847,Shoe size (EU),42
NER_1200181154847,Brand,DC Shoes
NER_1200181154847,Color,Black Orange
NER_1200181154847,Target group,men
NER_1200181154854,Shoe size (EU),44
NER_1200181154854,Brand,DC Shoes
NER_1200181154854,Color,Black Orange
NER_1200181154854,Target group,men
NER_1200186065704,Brand,Reebok
NER_1200186065704,Color,Black
NER_1200186065704,Target group,men
NER_1200186065711,Brand,Reebok
NER_1200186065711,Color,Black
NER_1200186065711,Target group,men
NER_1200186065728,Brand,Reebok
NER_1200186065728,Color,Black
NER_1200186065728,Target group,men
NER_1200186065735,Brand,Reebok
NER_1200186065735,Color,Black
NER_1200186065735,Target group,men
NER_1200186065742,Brand,Reebok
NER_1200186065742,Color,Black
NER_1200186065742,Target group,men
NER_1200186065759,Brand,Reebok
NER_1200186065759,Color,Black
NER_1200186065759,Target group,men
NER_1200186065766,Brand,Reebok
NER_1200186065766,Color,Black
NER_1200186065766,Target group,men
NER_1200186065773,Brand,Reebok
NER_1200186065773,Color,Black
NER_1200186065773,Target group,men
NER_1200186065780,Brand,Reebok
NER_1200186065780,Color,Black
NER_1200186065780,Target group,men
NER_1200186065797,Brand,Reebok
NER_1200186065797,Color,Black
NER_1200186065797,Target group,men
NER_1200186065803,Brand,Reebok
NER_1200186065803,Color,Black
NER_1200186065803,Target group,men
NER_1200186065810,Brand,Reebok
NER_1200186065810,Color,Black
NER_1200186065810,Target group,men
NER_1200186065827,Brand,Reebok
NER_1200186065827,Color,Black
NER_1200186065827,Target group,men
NER_1200186065834,Brand,Reebok
NER_1200186065834,Color,Black
NER_1200186065834,Target group,men
NER_1200186065841,Brand,Reebok
NER_1200186065841,Color,Black
NER_1200186065841,Target group,men
NER_1200186726438,Brand,Reebok
NER_1200186726438,Color,Black
NER_1200186726438,Target group,men
NER_1200186726445,Brand,Reebok
NER_1200186726445,Color,Black
NER_1200186726445,Target group,men
NER_1200186726452,Brand,Reebok
NER_1200186726452,Color,Black
NER_1200186726452,Target group,men
NER_1200186726469,Brand,Reebok
NER_1200186726469,Color,Black
NER_1200186726469,Target group,men
NER_1200186726476,Brand,Reebok
NER_1200186726476,Color,Black
NER_1200186726476,Target group,men
NER_1200186726483,Brand,Reebok
NER_1200186726483,Color,Black
NER_1200186726483,Target group,men
NER_1200186726490,Brand,Reebok
NER_1200186726490,Color,Black
NER_1200186726490,Target group,men
NER_1200186726506,Brand,Reebok
NER_1200186726506,Color,Black
NER_1200186726506,Target group,men
NER_1200186726513,Brand,Reebok
NER_1200186726513,Color,Black
NER_1200186726513,Target group,men
NER_1200186726520,Brand,Reebok
NER_1200186726520,Color,Black
NER_1200186726520,Target group,men
NER_1200186726537,Brand,Reebok
NER_1200186726537,Color,Black
NER_1200186726537,Target group,men
NER_1200186726544,Brand,Reebok
NER_1200186726544,Color,Black
NER_1200186726544,Target group,men
NER_1200186726551,Brand,Reebok
NER_1200186726551,Color,Black
NER_1200186726551,Target group,men
NER_1200186728012,Brand,Reebok
NER_1200186728012,Color,Black
NER_1200186728012,Target group,men
NER_1200186728029,Brand,Reebok
NER_1200186728029,Color,Black
NER_1200186728029,Target group,men
NER_1200186728043,Brand,Reebok
NER_1200186728043,Color,Black
NER_1200186728043,Target group,men
NER_1200186728050,Brand,Reebok
NER_1200186728050,Color,Black
NER_1200186728050,Target group,men
NER_1200186728067,Brand,Reebok
NER_1200186728067,Color,Black
NER_1200186728067,Target group,men
NER_1200186728074,Brand,Reebok
NER_1200186728074,Color,Black
NER_1200186728074,Target group,men
NER_1200186728111,Brand,Reebok
NER_1200186728111,Color,Black
NER_1200186728111,Target group,men
NER_1270457638609,Brand,Dries Van Noten
NER_1270457638609,Color,Black
NER_1270457638609,Target group,men
NER_1270457638616,Brand,Dries Van Noten
NER_1270457638616,Color,Black
NER_1270457638616,Target group,men
NER_1270457638623,Brand,Dries Van Noten
NER_1270457638623,Color,Black
NER_1270457638623,Target group,men
NER_1270457638630,Brand,Dries Van Noten
NER_1270457638630,Color,Black
NER_1270457638630,Target group,men
NER_190108139693,Shoe size (EU),41
NER_190108139693,Brand,UGG
NER_190108140750,Shoe size (EU),37
NER_190108140750,Brand,UGG
NER_190108875379,Shoe size (EU),35
NER_190108875379,Brand,UGG (Courir)
NER_190108875379,Color,Black
NER_190108875379,Target group,men
NER_190108875386,Brand,UGG (Courir)
NER_190108875386,Color,Black
NER_190108875386,Target group,men
NER_190108875478,Shoe size (EU),32.5
NER_190108875478,Brand,UGG
NER_190108875584,Shoe size (EU),31
NER_190108875584,Brand,UGG
NER_190308887189,Shoe size (EU),37.5
NER_190308887189,Brand,adidas
NER_190309473626,Brand,adidas
NER_190340978074,Brand,Brooks Running
NER_190340978074,Color,Black
NER_190340978074,Target group,men
NER_190340978098,Brand,Brooks Running
NER_190340978098,Color,Black
NER_190340978098,Target group,men
NER_190340978104,Brand,Brooks Running
NER_190340978104,Color,Black
NER_190340978104,Target group,men
NER_190340978135,Brand,Brooks Running
NER_190340978135,Color,Black
NER_190340978135,Target group,men
NER_190340978159,Brand,Brooks Running
NER_190340978159,Color,Black
NER_190340978159,Target group,men
NER_190340978180,Brand,Brooks Running
NER_190340978180,Color,Black
NER_190340978180,Target group,men
NER_190665259568,Brand,Dr. Martens
NER_190665259568,Color,Black
NER_190665259568,Target group,men
NER_190665259605,Brand,Dr. Martens
NER_190665259605,Color,Black
NER_190665259605,Target group,men
NER_190665350739,Brand,Dr. Martens
NER_190665350739,Color,Black
NER_190665350739,Target group,men
NER_190665350746,Brand,Dr. Martens
NER_190665350746,Color,Black
NER_190665350746,Target group,men
NER_190665350753,Brand,Dr. Martens
NER_190665350753,Color,Black
NER_190665350753,Target group,men
NER_190665350807,Brand,Dr. Martens
NER_190665350807,Color,Black
NER_190665350807,Target group,men
NER_190665398397,Brand,Dr. Martens
NER_190665398397,Color,Black
NER_190665398397,Target group,men
NER_190665435764,Brand,Dr. Martens
NER_190665435764,Color,Black
NER_190665435764,Target group,men
NER_190665435795,Brand,Dr. Martens
NER_190665435795,Color,Black
NER_190665435795,Target group,men
NER_190665578942,Brand,Dr. Martens
NER_190665578942,Color,Brown
NER_190665578942,Target group,men
NER_190665628845,Brand,Dr. Martens
NER_190665628845,Color,Savannah Tan
